sensor_id,Y,X,TYPE,OBJECT_ID,Exhibit,Tag_Number,Order,Family,Species,Common_Name,Area_of_Origin_Distribution,Comments,image_url,start_DBH,end_DBH,dbh_diff
92243511,25.724093,-80.2802028,DENDROMETER,134,5. Sapotaceae and other Ericales,100,Sapindales,Meliaceae,Cedrela odorata,"Cedro, Spanish Cedar",Central and South America and the Caribbean,Most commercially important species of the genus. Wood soft but used for building and  furniture due to its resistance to termites and rot. Wood aromatic and used for cigar boxes and guitar necks. Invasive in the Galapagos Islands.,https://danielaggwm.github.io/arboretum/Images/92243511/1.jpeg,45.3,48.39,3.09
92243512,25.7243796,-80.2796778,DENDROMETER,158,6. Fabaceae,14,Fabales,Fabaceae,Cassia fistula,Golden Shower Tree,Indian Subcontinent and Myanmar,"The national tree and flower of Thailand, and the state flower of Kerala, India, this tree is valued throughout the tropical world for its ornamental value with its pannacles of yellow flowers in the spring and fall. In Asia, the pulp around the seeds has been used as a laxative and the bark has been used to treat skin infections. However, the seeds are poisonous and little modern research has been done to confirm the efficacy of the traditional medicinal uses.",https://danielaggwm.github.io/arboretum/Images/92243512/1.jpeg,43.2,44.58,1.38
92243513,25.7240387,-80.2795167,DENDROMETER,253,10. Sapindales,107,Fabales,Fabaceae,Delonix regia,"Royal Poinciana, Flamboyant",Madagascar,"Royal Poinciana or Flamboyant is  a large, spreading tree that is one of the most spectacular flowering trees in the world. Its beauty is celebrated in early June with an annual festival here in Southern Florida that is our area's oldest, continuing festival. Flowers range from red to orange to golden yellow to canary yellow. The deciduous nature and hurricane resistance of this species made it a favorite of early settlers for natural air conditioning.",https://danielaggwm.github.io/arboretum/Images/92243513/1.jpeg,34.0,36.94,2.94
92243514,25.7239302,-80.2795992,DENDROMETER,243,10. Sapindales,13,Sapindales,Anacardiaceae,Sclerocarya birrea,Marula,Tropical Africa,"Marula is a dioecious, large spreading tree with edible fruit. Its leaves are eaten by elephants, giraffe, antelope, zebra and other wild beasts. Elephants also eat the bark and fruit, and are a major factor in seed dispersal. A bark decoction is used in traditional medicine to treat dysentery, and it is believed to also act as a prophylactic against malaria. Its wood is valuable and has with many uses. The fruit is used to make a liqueur called Amarula. Allegedly, elephants sometimes also become intoxicated from eating fermented fruit.",https://danielaggwm.github.io/arboretum/Images/92243514/1.jpeg,34.5,36.32,1.82
92243515,25.7239243,-80.2797563,DENDROMETER,257,10. Sapindales,111,Fagales,Fagaceae,Quercus virginiana,Live Oak,Southeastern United States,"A large, spreading tree with furrowed trunk and leathery, elliptical leaves about 1.5 to 2 inches long. A temperate species that is wind pollinated, it migrated south to Florida, but some observers question whether it should be considered native to Southern Florida. This species is an important food source not only for many birds (many of which are feeding on insects attracted to the tree), but also for other animals.",https://danielaggwm.github.io/arboretum/Images/92243515/1.jpeg,72.0,72.57,0.57
92243516,25.7238228,-80.2798375,DENDROMETER,252,10. Sapindales,106,Caryophyllales,Polygonaceae,Coccoloba uvifera,Sea Grape,"South Florida, Caribbean, Tropical America","Medium sized tree with medium to large, leathery leaves that are smooth. Leaves are red when emergent and turn bright red with fall and winter cooler weather.
Fruit is eaten raw, cooked to make jams and jellies, and can be used to make wine. Native to coastal dune habitats, Seagrape can withstand strong winds and salt. It is also very cold hardy, but will not withstand freezing.
",https://danielaggwm.github.io/arboretum/Images/92243516/1.jpeg,39.8,40.32,0.52
92243517,25.7239042,-80.2798925,DENDROMETER,240,10. Sapindales,10,Sapindales,Anacardiaceae,Mangifera indica 'Fairchild',Fairchild Mango,Cultivar originating in Panama,"Mango is the national fruit of India, Pakistan, and the Philippines, and the national tree of Bangladesh. It is now grown throughout tropics for its much loved fruit. UM's Four Fillies Farms has a very diverse and valuable collection of mango cultivars. The Arboretum's is a “Fairchild” which is a variety that produces its fruit early (ie. Late spring to early summer). Although mango fruit is loved by many, many  people are allergic to the trees sap and some even experience allergenic effects  from eating or being close to blooming trees.",https://danielaggwm.github.io/arboretum/Images/92243517/1.jpeg,31.1,32.94,1.84
92243518,25.7237627,-80.2798519,DENDROMETER,234,10. Sapindales,4,Sapindales,Burseraceae,Bursera simaruba,"Gumbo Limbo, Tourist Tree","South Florida, Mexico, Carribean, Central and South America","Gumbo limbo is a native tree with a smooth, peeling bark that is characteristic of many species in the Burseraceae family. The trunk and bark have a red to orange color, and the tree is sometimes referred to as the “tourist tree” because the exfoliating bark resembles the skin of a sunburned tourist! The resin of this species has been used to make glue, resin and incense. Its wood was used traditionally to make carousel horses and the plant's resin was also used in traditional medicine as a treatment for gout. This species can be propagated by simply planting large stems that will take root and for this reason, Bursera simaruba is sometimes used for living fence posts.",https://danielaggwm.github.io/arboretum/Images/92243518/1.jpeg,29.4,31.18,1.78
92243519,25.723719,-80.2800103,DENDROMETER,284,11. Malvales,26,Malvales,Malvaceae,Sterculia foetida,"Bangar Nut, Java Olive",Southeast Asia to India,"Large tree with buttress roots. Clusters of muddy red flowers have somewhat fetid odor, but used as a street tree in Rio de Janeiro. Fruit had hard shell that opens to reveal red interior and large, blue seeds.",https://danielaggwm.github.io/arboretum/Images/92243519/1.jpeg,59.7,62.3,2.6
92243520,25.7235398,-80.2801504,DENDROMETER,272,11. Malvales,14,Malvales,Malvaceae,Heritiera littoralis,Looking Glass Mangorve,East Africa and Southeastern Asia,Tall tree with straight trunks used for ship masts. Extract from seeds used to treat diarrhea. Sap used as a fish poison.,https://danielaggwm.github.io/arboretum/Images/92243520/1.jpeg,32.0,34.15,2.15
92243521,25.7227943,-80.2799278,DENDROMETER,434,14. Maya Cocoa Garden,21,Malvales,Malvaceae,Ceiba pentandra,"Kapok, Yáaxche’, Lupuna",Mexico to South America,"Called the ""king of the jungle"" because this species usually grows straight up until it breaks through the surrounding canopy and only then starts to branch. It produces large buttress roots and masses of white to pinkish flowers that open at night. They are followed by seed pods that contain a cotton-like fiber called kapok. Although the evolutionary purpose of kapok was seed dispersal, kapok has been widely used my man to stuff everthing from mattresses to life preservers. This was a holy tree and revered by the Mayans.",https://danielaggwm.github.io/arboretum/Images/92243521/1.jpeg,52.69,53.52,0.83
92243522,25.7228863,-80.2799763,DENDROMETER,450,14. Maya Cocoa Garden,37,Malvales,Malvaceae,Pachira aquatica,Guiana Chestnut,Central and South America,"Following popularity in Japan, tree (along with P. glabra) became known as 'money tree' based on story that prayer for money was answered by this tree.  Edible seeds eaten raw, cooked or ground into flour. Mayans also used seeds to produce oil.",https://danielaggwm.github.io/arboretum/Images/92243522/1.jpeg,20.5,22.28,1.78
92243523,25.7230927,-80.2800666,DENDROMETER,45,1. Arecaceae,100,Fabales,Fabaceae,Albizia niopoides var niopoides,Tantakayo Albizia,Central and South America,"Large tree with smooth, grayish trunk, spreading crown, and deciduous, small leaflets. F/k/a Albizia caribaea.",https://danielaggwm.github.io/arboretum/Images/92243523/1.jpeg,75.31,77.62,2.31
92243524,25.723193,-80.2801753,DENDROMETER,390,13. What is a Tree?,22,Zygophyllales,Zygophyllaceae,Guaiacum sanctum,Lignum-Vitae,"South Florida, Caribbean and Central America","One of Florida's showiest natives, this slow-growing tropical tree produces striking purplish blue flowers in the spring and summer. The five petaled flowers are only about a half inch in diameter, but they are produced in great numbers. Fruit are lobed and turn deep yellow to orange before opening to reveal red arils that contain black seeds. The leaves consist of short, medium-green leaflets and the tree, only rarely exceeds 20 feet tall and has a spreading canopy.The species is basically evergreen although it will lose its leaves in very cold weather It has very heavy and hard wood that was once coveted for its self-lubricating properties which made it ideal for axles and moving parts that encounter lots of friction. It was also prized in boat making due to its durability and resistance to rot. Its common name of lignum vitae means ""tree of life"" and it has many reputed medicinal benefits.It was once believed that it could even cure syphallis, but that claim has not been substantiated.",https://danielaggwm.github.io/arboretum/Images/92243524/1.jpeg,30.26,31.18,0.92
92243525,25.7230149,-80.2805039,DENDROMETER,46,1. Arecaceae,101,Fabales,Fabaceae,Enterolobium cyclocarpum,"Guanacaste, Ear-pod Tree, Parota, Huanacaxtle","Central America, Mexico to Colombia","Very large, spreading tree that delays fruit development up to 9 months to coincide with rainy season.  Wood is water resistant.  In Mexico, seeds from green pods are boiled and eaten.",https://danielaggwm.github.io/arboretum/Images/92243525/1.jpeg,109.71,111.47,1.76
92243526,25.7236105,-80.2802879,DENDROMETER,76,2. Euphorbiaceae & other Malpighiales,18,Malpighiales,Euphorbiaceae,Hura crepitans,"Sandbox Tree, Dynamite Tree, Catahua","West Indies, Central and South America",Large tree with poisonous sap sometimes used as a fish poison. Pumpkin shaped fruits with explosive dehiscence that makes loud noise and throws seeds in excess of 100 feet.,https://danielaggwm.github.io/arboretum/Images/92243526/1.jpeg,24.82,28.0,3.18
92243527,25.7238099,-80.2804489,DENDROMETER,101,4. Moraceae & other Rosales,3,Rosales,Urticaceae,Cecropia palmata,"Cecropia, Trumpet Tree",South America,"Dioecious, pioneer species. Trad. medicinal uses. Wind pollinated. Host for ant colonies and leaves important food for sloths. Wood used to make flutes and guitars.",https://danielaggwm.github.io/arboretum/Images/92243527/1.jpeg,41.98,43.76,1.78
92243528,25.7237497,-80.2802669,DENDROMETER,110,4. Moraceae & other Rosales,100,Sapindales,Sapindaceae,Blighia sapida,Akee,West Africa,National dish of Jamaica when cooked and combined with salted fish. Cooked fruit is not sweet and is commonly compared to scrambled eggs. Fruit poisonous without proper processing and preparation.,https://danielaggwm.github.io/arboretum/Images/92243528/1.jpeg,26.31,28.09,1.78
92243529,25.723699,-80.2803992,DENDROMETER,89,3. Gymnosperms,4,Pinales,Araucariaceae,Araucaria biramulata,Biramule Araucaria,Endemic to New Caladonia,Tall conifer to over 90 feet considered Vulnerable by IUCN due to habitat loss and fragmentation.,https://danielaggwm.github.io/arboretum/Images/92243529/1.jpeg,11.6,13.68,2.08
92243530,25.7236542,-80.2804306,DENDROMETER,95,3. Gymnosperms,10,Pinales,Podocarpaceae,Podocarpus macrophyllus var. maki,Bigleaf Podocarp,"Myanmar, China, Taiwan, and Japan",Northernmost growing species of Podocarpus genus. Timber prized for being termite-resistant,https://danielaggwm.github.io/arboretum/Images/92243530/1.jpeg,19.1,19.48,0.38
92243531,25.7239148,-80.2801962,DENDROMETER,281,11. Malvales,23,Malvales,Malvaceae,Pterospermum acerifolium,"Bayur Tree, Karnikara Tree",Nepal to southern China and Southeast Asia,"Tall tree with large leaves, often with toothed edges. Undersides of leaves have silver to rust coloration. Large, white flowers are fragrant at night.",https://danielaggwm.github.io/arboretum/Images/92243531/1.jpeg,44.0,46.56,2.56
92243532,25.7240776,-80.2801006,DENDROMETER,125,5. Sapotaceae and other Ericales,8,Ericales,Lecythidaceae,Couroupita guianensis,Cannonball Tree,Central and South America,"Large tree with unusual, highly fragrant flowers produced on special stems that sprout from trunk. Bat pollinated. Fruit resemble brown ""cannonballs"" than can sound like gunshots when they hit each other in strong winds. Fruit edible and used as fodder, but rarely eaten by humans due to pulp's unpleasant smell. Has religious significance for Hindus and Buddhists even though tree has New World origin.",https://danielaggwm.github.io/arboretum/Images/92243532/1.jpeg,18.8,20.78,1.98
92243533,25.7239986,-80.280064,DENDROMETER,136,5. Sapotaceae and other Ericales,102,Malvales,Malvaceae,Ceiba speciosa,"Floss Silk Tree, Huimba",Eastern Brazil to Bolivia and Peru,"The trunk of this large tree is green and armed with large prickles. It produces showy, large pink flowers in Fall. The fruits contain a cotton-like substance called ""kapok"" whose evolutionary purpose was seed dispersal. However, kapok was widely used for stuffing in life preservers and bedding, but is used less today because it is flammable. It is also used to make paper, and oil extracted from the seeds is used for cooking.",https://danielaggwm.github.io/arboretum/Images/92243533/1.jpeg,64.5,65.55,1.05
92243534,25.7242097,-80.2799736,DENDROMETER,147,6. Fabaceae,3,Fabales,Fabaceae,Bauhinia monandra,"Pink Bauhinia, Napoleon's Plume",Madagascar,"From Madagascar, Napoleon's Plume is a medium sized ""orchid tree"" with flowers that open yellow and then turn pink within a day. Can be a pest plant due to seedlings and is not recommended except for areas where control is not a problem and escape would be difficult.",https://danielaggwm.github.io/arboretum/Images/92243534/1.jpeg,16.4,18.0,1.6
92243535,25.7241236,-80.2798741,DENDROMETER,176,6. Fabaceae,32,Fabales,Fabaceae,Inga edulis,"Guaba, Ice Cream Bean",South America,,https://danielaggwm.github.io/arboretum/Images/92243535/1.jpeg,11.0,13.99,2.99
92243536,25.7242569,-80.2798846,DENDROMETER,178,6. Fabaceae,101,Lamiales,Bignoniaceae,Deplanchea tetraphylla,Golden Bouquet Tree,Queensland Australia and New Guinea,"When in bloom, these trees create a striking sight in the rainforests of North Queensland, Australia.   In the spring, dinner-plate size clusters of bright-yellow blossoms offer a feast of dark nectar for hungry birds and insects.   The common name “Wallaby Wireless” in Australia is derived from the fondness that wallabies have for eating fallen flowers and ‘news’ of the availability of fallen flowers spreads quickly through a local wallaby population.   

The large dark green leaves are arranged in whorls and have light pubescence underneath.  In Australia the caterpillars of a hawk moth use Deplanchea tetraphylla as a host plant.
",https://danielaggwm.github.io/arboretum/Images/92243536/1.jpeg,17.0,19.07,2.07
92243537,25.7243784,-80.2796123,DENDROMETER,157,6. Fabaceae,13,Fabales,Fabaceae,Cassia bakeriana,Pink Shower Tree,Myanmar and Thailand,"Medium sized tree to 30 feet tall and wide that is valued as an ornamental for its prolific production of light pink flowers in early spring. An earlier blooming and smaller tree that is more suitable for South Florida than the traditional favorite, Cassia javanica (Apple Blossom or Pink and White Shower) which has problems with die back and short, dead stems that remain along the trunk and branches and can be hazardous to children and eyes.",https://danielaggwm.github.io/arboretum/Images/92243537/1.jpeg,36.4,36.93,0.53
92243538,25.7243843,-80.2793936,DENDROMETER,188,7. Bignoniaceae,4,Lamiales,Bignoniaceae,Kigelia africana,Sausage Tree,Tropical Africa,"The common name of this tree comes from its large, elongated fruit that resemble giant sausages
that can weigh as much as ten pounds each. The fruit is poisonous when unripe, but baboons, monkeys and bush pigs eat the hard seeds and dry, fibrous material within the ripe fruit. During times of scarcity in Africa, humans roast and eat the ripe seeds. Traditional uses of the crushed fruit include a dressing for skin conditions and testing has shown that it has antibacterial properties. Today, there are skin creams, beauty products, shampoos, and conditioners that contain extracts from the fruit. The wood of Kigelia africana is durable and used for shelving, boxes and canoes.

Maroon, cup-shaped flowers hang down on long, rope-like stalks.  The flowers are velvety
on the inside and filled with nectar.  They open at night and are generally pollinated by bats. In South Florida, hand pollination is generally required in order for fruit to form and this unusual tree was a notable tourist attraction during the early development of Miami and South Florida.
",https://danielaggwm.github.io/arboretum/Images/92243538/1.jpeg,51.8,53.26,1.46
92243539,25.7242958,-80.2794408,DENDROMETER,207,8. Myrtales,4,Myrtales,Myrtaceae,Eucalyptus deglupta,Rainbow Eucalyptus,Philippines to New Guinea,"Rainbow eucalyptus is a very tall tree (200 feet +) that is one of the few Eucalyptus trees that is not native to Australia. Instead, coming from Malaysia and Indonesia, its common name reflects that this species has a exfoliating bark that reveals strips of color in green, purple, orange and maroon hues on its trunk, which make it attractive as an ornamental. However, this tree is also grown widely around the world in tree plantations, primarily for pulpwood used in making paper.",https://danielaggwm.github.io/arboretum/Images/92243539/1.jpeg,41.2,42.98,1.78
92243540,25.7242251,-80.2795324,DENDROMETER,206,8. Myrtales,3,Myrtales,Myrtaceae,Corymbia citriodora,Lemon-scented Gum,Northeastern Australia,"Lemon-scented gum is a  tall, columnar tree from eastern Australia. It has smooth, pale or slightly mottled bark and leaves that smell  strongly of lemons. The oil of the lemon-scented gum consists primarily of citronella (80%). While unrefined oil is used in perfumery, a refined form of this oil is used in insect repellents.",https://danielaggwm.github.io/arboretum/Images/92243540/1.jpeg,24.8,27.28,2.48
